id,nom,geo_point_2d,secteur,commune,adresse,type_dechet,horaires_ouverture,jours_ouverture,types_materiaux
997,verre aérien,"45.21446,5.78961",Nord-Est,Meylan,25 Rue de Chenevière / Impasse du Tramier (dans logette),verre,24h,tous les jours,verre
1035,verre aérien,"45.21677,5.79024",Nord-Est,Meylan,Chemin de Maupertuis / Chemin de l'Hermitage,verre,24h,tous les jours,verre
1337,verre aérien,"45.21235,5.79234",Nord-Est,Meylan,21/23 Allée des Frênes / Appart'City,verre,24h,tous les jours,verre
1006,verre aérien,"45.21719,5.80066",Nord-Est,Meylan,Avenue des Quatre Chemins / Cimetière du Gamond (sur parking),verre,24h,tous les jours,verre
992,verre aérien,"45.21127,5.78647",Nord-Est,Meylan,Chemin de Bérivière (Place des Tuileaux côté logette),verre,24h,tous les jours,verre
994,verre aérien,"45.21404,5.78583",Nord-Est,Meylan,Chemin de Bérivière / Allée de la Roselière (à côté logette),verre,24h,tous les jours,verre
995,verre aérien,"45.21278,5.7866",Nord-Est,Meylan,Chemin de Bérivière / Rue Père Cohard (côté n°3),verre,24h,tous les jours,verre
990,verre aérien,"45.20778,5.78501",Nord-Est,Meylan,Chemin des Prèles / Chemin des Sétérées du Dessous (dans logette à côté hôtel Kyriad),verre,24h,tous les jours,verre
1331,verre aérien,"45.20889,5.78458",Nord-Est,Meylan,10 Chemin des Prêles,verre,24h,tous les jours,verre
1332,verre aérien,"45.21063,5.78903",Nord-Est,Meylan,6 Chemin des Prés,verre,24h,tous les jours,verre
991,verre aérien,"45.21059,5.78324",Nord-Est,Meylan,Impasse des Verdiers,verre,24h,tous les jours,verre
3177,emballages aérien,"45.14997,5.72607",Sud,Echirolles,7 Rue des Tropiques / Sud Galaxie,emballages,24h,tous les jours,emballages
2039,collecte sélective enterré,"45.07338,5.73098",Grand-Sud,Champ sur Drac,Chemin du Boutey (face au n° 46),collecte sélective,24h,tous les jours,collecte sélective
1290,verre aérien,"45.20171,5.83371",Nord-Est,Domène,12-14 Avenue de la Gare / Rue des Alpes,verre,24h,tous les jours,verre
773,verre aérien,"45.17247,5.75653",Nord-Est,Saint Martin d'Hères,Avenue Potié / Rue Edmond Rostand (Parking devant Crèche Jeanne Labourbe) / Quartier Renaudie,verre,24h,tous les jours,verre
1341,verre aérien,"45.14722,5.75897",Sud,Eybens,38 Avenue de la République / Allée des Pervenches,verre,24h,tous les jours,verre
3174,emballages aérien,"45.14891,5.72578",Sud,Echirolles,2 Rue des Méridiens / Sud Galaxie,emballages,24h,tous les jours,emballages
806,verre aérien,"45.18009,5.75945",Nord-Est,Saint Martin d'Hères,Place Karl Marx / Rue Jules Verne / Bibliothèque Paul Langevin,verre,24h,tous les jours,verre
1215,verre aérien,"45.06909,5.76614",Grand-Sud,Vizille,Parking Lycée / Gendarmerie / Avenue Pasteur,verre,24h,tous les jours,verre
1203,verre aérien,"45.08796,5.77513",Grand-Sud,Vizille,Collège Les Mattons (Gymnase) / Rue derrière gymnase,verre,24h,tous les jours,verre
758,verre aérien,"45.16032,5.75662",Nord-Est,Saint Martin d'Hères,Avenue Marcel Cachin / Rue Lénine,verre,24h,tous les jours,verre
1029,verre aérien,"45.17719,5.79238",Nord-Est,Venon,Route départementale / Le Pied de Venon (plateforme de tri),verre,24h,tous les jours,verre
230,verre aérien,"45.17883,5.78041",Nord-Est,Gières,Rue Docteur Valois (RD 269) / Rue de la Roseraie,verre,24h,tous les jours,verre
41,verre aérien,"45.20675,5.84702",Nord-Est,Domène,1 Rue des Contamines / Parking Relais / Dépôt DDE,verre,24h,tous les jours,verre
769,verre aérien,"45.16727,5.76298",Nord-Est,Saint Martin d'Hères,5 Avenue Romain Rolland / MJC,verre,24h,tous les jours,verre
771,verre aérien,"45.16927,5.75952",Nord-Est,Saint Martin d'Hères,5 Rue Garcia Lorca / Marché Chamberton (vers toilettes),verre,24h,tous les jours,verre
772,verre aérien,"45.17205,5.75799",Nord-Est,Saint Martin d'Hères,Rue Henri Wallon / Avenue Potié / Parking terminus tram Etienne Grappe,verre,24h,tous les jours,verre
6,verre aérien,"45.11305,5.67186",Grand-Sud,Claix,17 Chemin de Risset / Déchèterie,verre,24h,tous les jours,verre
1081,verre aérien,"45.18605,5.77165",Nord-Est,Saint Martin d'Hères,5 Rue du Tour de l'Eau / Résidence Matisse / Rue Joseph Fourier / Entrée CSTB,verre,24h,tous les jours,verre
1326,verre aérien,"45.21275,5.76829",Nord-Est,Meylan,Chemin des Sayettes (face au n° 40),verre,24h,tous les jours,verre
1132,verre aérien,"45.08434,5.73486",Grand-Sud,Champ sur Drac,Parking PL (poids lourds) / Avenue Jean Navarre / Rue Henri Barbusse,verre,24h,tous les jours,verre
1139,verre enterré,"45.08002,5.73582",Grand-Sud,Champ sur Drac,Pavillon (parking derrière la Poste) / Rue de Verdun,verre,24h,tous les jours,verre
1237,verre aérien,"45.18721,5.77525",Nord-Est,Saint Martin d'Hères,19 rue du Tour de l'Eau / Résidence étudiante Le Bissy,verre,24h,tous les jours,verre
819,verre aérien,"45.19398,5.75655",Nord-Est,Saint Martin d'Hères,Rue des Taillées / Rue Antoine Polotti (No Name Café),verre,24h,tous les jours,verre
897,verre aérien,"45.17646,5.6868",Nord-Ouest,Seyssinet Pariset,Avenue du Vercors / Rue de la Résistance / Résidence Belvedère,verre,24h,tous les jours,verre
713,verre aérien,"45.15871,5.75697",Sud,Poisat,Esplanande du 8 mai 1945 / 9-11 Rue Claude Debussy / Rue Hector Berlioz,verre,24h,tous les jours,verre
872,verre aérien,"45.18008,5.68756",Nord-Ouest,Seyssinet Pariset,Avenue du Vercors / Rue du Moucherotte,verre,24h,tous les jours,verre
47,verre aérien,"45.1571,5.72886",Sud,Echirolles,Rue Jean Vilar / Rue d'Alsace / Face Hôtel,verre,24h,tous les jours,verre
113,verre enterré,"45.14359,5.69872",Sud,Echirolles,13 Rue de Vassieux / 40 Rue des Grottes de la Luire,verre,24h,tous les jours,verre
151,verre aérien,"45.16608,5.74288",Sud,Eybens,10 Rue Galilée,verre,24h,tous les jours,verre
871,verre aérien,"45.17094,5.69452",Nord-Ouest,Seyssinet Pariset,Av de Grenoble / Av Victor Hugo,verre,24h,tous les jours,verre
14,verre aérien,"45.13293,5.66689",Grand-Sud,Claix,2 Chemin de l'Abbé / Groupe scolaire de Malhivert,verre,24h,tous les jours,verre
13,verre aérien,"45.1189,5.67066",Grand-Sud,Claix,Place du Champ de Foire,verre,24h,tous les jours,verre
3071,emballages aérien,"45.04465,5.8255",Grand-Sud,Saint Barthélémy de Séchilienne,Village (pont) / Les Ruines,emballages,24h,tous les jours,emballages
1071,verre aérien,"45.12565,5.68102",Grand-Sud,Claix,Rue de la Balme / Allée du Gros Chêne / dans logette à côté transfo,verre,24h,tous les jours,verre
59,verre aérien,"45.1543,5.71237",Sud,Echirolles,Avenue Victor Hugo / Rue Fernand Pelloutier,verre,24h,tous les jours,verre
79,verre aérien,"45.13957,5.72121",Sud,Echirolles,Halle Vieux Village / Place Baille Barelle / Avenue de la République / Parc Robert Buisson (Frange Verte),verre,24h,tous les jours,verre
160,verre aérien,"45.15556,5.75747",Sud,Eybens,Rue des Rosiers / Avenu de Champ Fila,verre,24h,tous les jours,verre
179,verre aérien,"45.19336,5.67935",Nord-Ouest,Fontaine,Rue Eugène Charbonnier / Rue du Moucherotte / Ecole maternelle Maurice Audin,verre,24h,tous les jours,verre
926,verre aérien,"45.08464,5.68162",Grand-Sud,Varces Allières et Risset,7 Avenue de Provence / Déchèterie,verre,24h,tous les jours,verre
182,verre aérien,"45.1948,5.69288",Nord-Ouest,Fontaine,3-7 Mail Marcel Cachin,verre,24h,tous les jours,verre
1169,verre enterré,"45.04996,5.70771",Grand-Sud,Saint Georges de Commiers,Les Isles / 870-1230 Rues des Isles,verre,24h,tous les jours,verre
180,verre aérien,"45.1954,5.6877",Nord-Ouest,Fontaine,38 Mail Marcel Cachin / Ensemble sportif / Maison du Temps Libre,verre,24h,tous les jours,verre
2079,papier aérien,"45.05334,5.76046",Grand-Sud,Saint Pierre de Mésage,Les Peyrauds / Rue de l'Oratoire / Montée de la Rhine,papier,24h,tous les jours,papier
2083,papier aérien,"45.05454,5.82718",Grand-Sud,Séchilienne,Le Grand Serre (lotissement),papier,24h,tous les jours,papier
2082,papier aérien,"45.05478,5.79423",Grand-Sud,Séchilienne,Les Rivoirans,papier,24h,tous les jours,papier
1064,verre aérien,"45.11222,5.68162",Grand-Sud,Claix,16 Rue de l'Industrie / Commerce produits fermiers / ZI des Bauches,verre,24h,tous les jours,verre
2089,papier aérien,"45.10087,5.80191",Grand-Sud,Vaulnaveys le Bas,Camping L'Imprévu (parking accueil) / 62 Chemin des Molières,papier,24h,tous les jours,papier
2090,papier aérien,"45.09385,5.79402",Grand-Sud,Vaulnaveys le Bas,Le Plâtre / IDF / 49 Chemin des Cottes,papier,24h,tous les jours,papier
1342,verre aérien,"45.1454,5.76133",Sud,Eybens,71 Rue des Pellets,verre,24h,tous les jours,verre
3119,emballages aérien,"45.0713,5.76453",Grand-Sud,Vizille,ZA Messidor / Carrefour Market / 172 Rue Messidor,emballages,24h,tous les jours,emballages
1277,verre aérien,"45.01781,5.64329",Grand-Sud,Le Gua,17-19 Rue de la Blacharde,verre,24h,tous les jours,verre
552,verre aérien,"45.02493,5.64601",Grand-Sud,Le Gua,Les Saillants / Avenue du Vercors (vers n° 21 - Café des Voyageurs - face tabac-presse) / Place du Centre,verre,24h,tous les jours,verre
588,verre aérien,"45.14043,5.70333",Grand-Sud,Le Pont de Claix,104 Cours Saint André (limite Echirolles) / Restaurant Courtepaille,verre,24h,tous les jours,verre
581,verre aérien,"45.13029,5.69725",Grand-Sud,Le Pont de Claix,2-4 Avenue des Iles de Mars / entrée collège,verre,24h,tous les jours,verre
564,verre aérien,"45.12675,5.69864",Grand-Sud,Le Pont de Claix,26-30 Cours Saint André / Rue Marcelline,verre,24h,tous les jours,verre
568,verre aérien,"45.1238,5.69701",Grand-Sud,Le Pont de Claix,3 Rue Franz Schubert,verre,24h,tous les jours,verre
563,verre aérien,"45.12839,5.69886",Grand-Sud,Le Pont de Claix,45 Cours Saint André / Résidence Joliot Curie / proximité CCAS,verre,24h,tous les jours,verre
560,verre aérien,"45.13097,5.70007",Grand-Sud,Le Pont de Claix,60 Cours Saint André,verre,24h,tous les jours,verre
554,verre aérien,"45.13444,5.70124",Grand-Sud,Le Pont de Claix,70 Cours Saint André / Supermarché Dia,verre,24h,tous les jours,verre
555,verre aérien,"45.13565,5.70121",Grand-Sud,Le Pont de Claix,71-73 Cours Saint André (Résidence Saint André),verre,24h,tous les jours,verre
1021,verre aérien,"45.22426,5.78916",Nord-Est,Meylan,12-16 Chemin de Jaillères / terrains de tennis,verre,24h,tous les jours,verre
558,verre aérien,"45.13218,5.69747",Grand-Sud,Le Pont de Claix,7-9 Rue Stendhal,verre,24h,tous les jours,verre
585,verre aérien,"45.13566,5.69993",Grand-Sud,Le Pont de Claix,AFPA - CFPA / 38 Avenue Victor Hugo / Bâtiment 13 (à l'intérieur du domaine),verre,24h,tous les jours,verre
556,verre aérien,"45.13421,5.69938",Grand-Sud,Le Pont de Claix,Allée Albert Camus (vers n° 9) / Olympiades,verre,24h,tous les jours,verre
1054,verre aérien,"45.13211,5.69258",Grand-Sud,Le Pont de Claix,Complexe sportif Louis Maisonnat / Rue Louis Maisonnat / Rue Aristide Bergès / ZI des Iles,verre,24h,tous les jours,verre
574,verre aérien,"45.12027,5.70157",Grand-Sud,Le Pont de Claix,Déchèterie / 43 Avenue du Maquis de l'Oisans / Eglise,verre,24h,tous les jours,verre
571,verre aérien,"45.12309,5.69899",Grand-Sud,Le Pont de Claix,Place Salvador Allende / Parking,verre,24h,tous les jours,verre
924,verre aérien,"45.10657,5.6727",Grand-Sud,Varces Allières et Risset,3 Rue de la Pissarde / Le Risset / Cimetière / Chapelle,verre,24h,tous les jours,verre
569,verre aérien,"45.12327,5.69628",Grand-Sud,Le Pont de Claix,Rue Benoît Jay / Ecole Jules Verne (parking devant école),verre,24h,tous les jours,verre
1133,verre aérien,"45.08475,5.72949",Grand-Sud,Champ sur Drac,La Chêneraie (parking) / Allée de la Chêneraie,verre,24h,tous les jours,verre
1300,verre aérien,"44.98401,5.62414",Grand-Sud,Miribel Lanchâtre,Chemin de Miribel - Queue Longue,verre,24h,tous les jours,verre
1170,verre enterré,"45.04555,5.70801",Grand-Sud,Saint Georges de Commiers,EHPAD / Lotissement Balcons des Condamines / Rue des Tillerets / Impasse de la Frênaie,verre,24h,tous les jours,verre
1172,verre enterré,"45.03958,5.70123",Grand-Sud,Saint Georges de Commiers,Mairie / Stade / Gymnase des Combettes / 1 Rue de la Mairie,verre,24h,tous les jours,verre
917,verre aérien,"45.08711,5.68563",Grand-Sud,Varces Allières et Risset,28 Rue Léo Lagrange / Pompiers,verre,24h,tous les jours,verre
1171,verre enterré,"45.04349,5.70117",Grand-Sud,Saint Georges de Commiers,Parking ancienne poste / 455 Montée de la Peyrela,verre,24h,tous les jours,verre
529,verre aérien,"45.20459,5.74745",Nord-Est,La Tronche,Rue du Pont Bottu (côté borne incendie),verre,24h,tous les jours,verre
212,verre aérien,"45.24548,5.65771",Nord-Ouest,Fontanil Cornillon,8 Avenue de la Louisiane / Hotel Kyriad (parking intérieur derrière hôtel - côté cuisines) / Zone Industrielle,verre,24h,tous les jours,verre
3109,emballages aérien,"45.0828,5.77701",Grand-Sud,Vizille,Cimetière / Chemin du Cimetière,emballages,24h,tous les jours,emballages
2105,papier aérien,"45.08278,5.777",Grand-Sud,Vizille,Cimetière / Chemin du Cimetière,papier,24h,tous les jours,papier
2102,papier aérien,"45.08581,5.77616",Grand-Sud,Vizille,Collège Les Mattons (Cuisines cantine) / 396 Avenue de Vénaria,papier,24h,tous les jours,papier
3105,emballages aérien,"45.0879,5.7751",Grand-Sud,Vizille,Collège Les Mattons (Gymnase) / Rue derrière gymnase,emballages,24h,tous les jours,emballages
2101,papier aérien,"45.08792,5.77512",Grand-Sud,Vizille,Collège Les Mattons (Gymnase) / Rue derrière gymnase,papier,24h,tous les jours,papier
715,verre aérien,"45.15807,5.75993",Sud,Poisat,9 Avenue Pierre Mendès France / Centre socio-culturel,verre,24h,tous les jours,verre
3118,emballages aérien,"45.07363,5.77284",Grand-Sud,Vizille,Ecole du Château (parking devant école) / Rue Emile Cros,emballages,24h,tous les jours,emballages
2123,papier aérien,"45.05531,5.77763",Grand-Sud,Vizille,Ecole Paul Langevin (Péage de Vizille) / 441 Rue Paul Langevin,papier,24h,tous les jours,papier
3108,emballages aérien,"45.0822,5.77378",Grand-Sud,Vizille,EHPAD / 218 Chemin des Mattons,emballages,24h,tous les jours,emballages
2104,papier aérien,"45.0822,5.77381",Grand-Sud,Vizille,EHPAD / 218 Chemin des Mattons,papier,24h,tous les jours,papier
551,verre aérien,"45.02047,5.6494",Grand-Sud,Le Gua,Les Saillants / Boulodrome / Tennis / Ecole élémentaire le Bruyant,verre,24h,tous les jours,verre
923,verre aérien,"45.10483,5.68267",Grand-Sud,Varces Allières et Risset,39 Route du Pavillon,verre,24h,tous les jours,verre
553,verre aérien,"45.01691,5.61346",Grand-Sud,Le Gua,Prélenfrey / Eglise,verre,24h,tous les jours,verre
1176,verre aérien,"45.05053,5.76414",Grand-Sud,Saint Pierre de Mésage,Place de l'Eglise,verre,24h,tous les jours,verre
1174,verre enterré,"45.02844,5.7064",Grand-Sud,Saint Georges de Commiers,Saint Pierre / Parking Eglise,verre,24h,tous les jours,verre
841,verre aérien,"45.07244,5.66137",Grand-Sud,Saint Paul de Varces,Déchèterie / 249 Chemin de la Carrière / Les Tapaux,verre,24h,tous les jours,verre
1175,verre aérien,"45.05333,5.76047",Grand-Sud,Saint Pierre de Mésage,Les Peyrauds / Rue de l'Oratoire / Montée de la Rhine,verre,24h,tous les jours,verre
2048,papier aérien,"45.11627,5.75764",Grand-Sud,Jarrie,Ecole Louvarou (Haute Jarrie) / 20 Rue de la Bascule,papier,24h,tous les jours,papier
1051,verre aérien,"45.08598,5.67758",Grand-Sud,Varces Allières et Risset,48 rue du Vercors (à 50 mètres du n°48 en direction de St Paul de Varces),verre,24h,tous les jours,verre
929,verre aérien,"45.09816,5.68431",Grand-Sud,Varces Allières et Risset,Route D 1075 / Le Petit Rochefort / Scierie Nier,verre,24h,tous les jours,verre
1211,verre aérien,"45.07752,5.77073",Grand-Sud,Vizille,Piscine / Rue Argoud,verre,24h,tous les jours,verre
1052,verre aérien,"45.08971,5.66834",Grand-Sud,Varces Allières et Risset,Route du Martinais d'en Haut,verre,24h,tous les jours,verre
928,verre aérien,"45.08958,5.68136",Grand-Sud,Varces Allières et Risset,Rue Charles Beylier / Face au kiosque du Parc Beylier / vers rond-point de l'école,verre,24h,tous les jours,verre
918,verre aérien,"45.08675,5.68847",Grand-Sud,Varces Allières et Risset,Rue Léo Lagrange (au niveau du pont / côté rue de la Passerelle),verre,24h,tous les jours,verre
930,verre aérien,"45.08888,5.68377",Grand-Sud,Varces Allières et Risset,Salle de spectacle l'Oriel / Avenue Joliot Curie / Espace Charles de Gaulle,verre,24h,tous les jours,verre
1188,verre aérien,"45.10089,5.80193",Grand-Sud,Vaulnaveys le Bas,Camping L'Imprévu (parking accueil) / 62 Chemin des Molières,verre,24h,tous les jours,verre
1189,verre aérien,"45.09386,5.79404",Grand-Sud,Vaulnaveys le Bas,Le Plâtre / IDF / 49 Chemin des Cottes,verre,24h,tous les jours,verre
526,verre aérien,"45.20691,5.74391",Nord-Est,La Tronche,32 Grande Rue (Parc Chevi),verre,24h,tous les jours,verre
922,verre aérien,"45.09747,5.68254",Grand-Sud,Varces Allières et Risset,Rue de l'Industrie / Parking Intermarché,verre,24h,tous les jours,verre
3103,emballages aérien,"45.08524,5.77116",Grand-Sud,Vizille,Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud,emballages,24h,tous les jours,emballages
2100,papier aérien,"45.08524,5.77116",Grand-Sud,Vizille,Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud,papier,24h,tous les jours,papier
31,verre aérien,"45.20102,5.84081",Nord-Est,Domène,Route de Revel / Place Amable Matussière,verre,24h,tous les jours,verre
1091,verre aérien,"45.0959,5.67668",Grand-Sud,Varces Allières et Risset,Rue des Saules / Eco-Quartier de la Giraudière,verre,24h,tous les jours,verre
2095,papier aérien,"45.12203,5.80428",Grand-Sud,Vaulnaveys le Haut,Déchèterie / Mas des Bessins / Route D5E,papier,24h,tous les jours,papier
1195,verre aérien,"45.12211,5.80429",Grand-Sud,Vaulnaveys le Haut,Déchèterie / Mas des Bessins / Route D5E,verre,24h,tous les jours,verre
3037,collecte sélective aérien,"45.08164,5.74065",Grand-Sud,Champ sur Drac,Déchèterie / Rue Léo Lagrange,collecte sélective,24h,tous les jours,collecte sélective
1187,verre aérien,"45.10145,5.79586",Grand-Sud,Vaulnaveys le Bas,Les Peillets (marbrier) / 160 Promenade de la Lavée,verre,24h,tous les jours,verre
3039,collecte sélective enterré,"45.07997,5.7358",Grand-Sud,Champ sur Drac,Pavillon (parking derrière la Poste) / Rue de Verdun,collecte sélective,24h,tous les jours,collecte sélective
3136,emballages aérien,"45.26008,5.77618",Nord-Est,Le Sappey en Chartreuse,La Virette / Camping / Ecole / Place des Justes,emballages,24h,tous les jours,emballages
2011,papier aérien,"45.26004,5.77623",Nord-Est,Le Sappey en Chartreuse,La Virette / Camping / Ecole / Place des Justes,papier,24h,tous les jours,papier
2007,papier aérien,"45.25461,5.77104",Nord-Est,Le Sappey en Chartreuse,Le Gouillat / Route du Col de Porte (Route D512),papier,24h,tous les jours,papier
1186,verre aérien,"45.11001,5.82155",Grand-Sud,Vaulnaveys le Bas,Montée de Montchaffrey / 301 Route de la Gorge,verre,24h,tous les jours,verre
1183,verre aérien,"45.11286,5.80472",Grand-Sud,Vaulnaveys le Bas,Ozanam / 200 Avenue des Vaulnaveys (colonne à l'intérieur de la propriété - accès cuisines),verre,24h,tous les jours,verre
1163,verre enterré,"45.07035,5.75774",Grand-Sud,Notre Dame de Mésage,Mairie / Allée de la Chapelle / Place de la Mairie (conteneurs en retrait derrière mairie),verre,24h,tous les jours,verre
1184,verre aérien,"45.11278,5.80781",Grand-Sud,Vaulnaveys le Bas,Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs,verre,24h,tous les jours,verre
1185,verre aérien,"45.11277,5.8078",Grand-Sud,Vaulnaveys le Bas,Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs,verre,24h,tous les jours,verre
1192,verre aérien,"45.12179,5.82875",Grand-Sud,Vaulnaveys le Haut,Belmont / 1650-1750 Route de Prémol / Chemin de la Chapelle,verre,24h,tous les jours,verre
1197,verre aérien,"45.1197,5.80942",Grand-Sud,Vaulnaveys le Haut,Champ de Foire / Salle polyvalente / Bibliothèque / Impasse du Champ de Foire,verre,24h,tous les jours,verre
1127,verre aérien,"45.1097,5.72632",Grand-Sud,Champagnier,Espace 4 Vents (accès cuisines) / 3 Chemin du Gal,verre,24h,tous les jours,verre
1148,verre aérien,"45.11269,5.76634",Grand-Sud,Jarrie,Cimetière (Haute Jarrie) / 789 Route de l'Eglise,verre,24h,tous les jours,verre
550,verre aérien,"45.02046,5.64951",Grand-Sud,Le Gua,Les Saillants / Boulodrome / Tennis / Ecole élémentaire le Bruyant,verre,24h,tous les jours,verre
1193,verre aérien,"45.12211,5.80425",Grand-Sud,Vaulnaveys le Haut,Déchèterie / Mas des Bessins / Route D5E,verre,24h,tous les jours,verre
1194,verre aérien,"45.12209,5.80425",Grand-Sud,Vaulnaveys le Haut,Déchèterie / Mas des Bessins / Route D5E,verre,24h,tous les jours,verre
1156,verre aérien,"45.09123,5.74168",Grand-Sud,Jarrie,Parking stade (Basse Jarrie) / 701 Rue du Moulin,verre,24h,tous les jours,verre
1155,verre aérien,"45.09052,5.74418",Grand-Sud,Jarrie,Stade Pierre Pillet (Basse Jarrie) / 157 Rue Henri Barbusse,verre,24h,tous les jours,verre
1196,verre aérien,"45.12208,5.80428",Grand-Sud,Vaulnaveys le Haut,Déchèterie / Mas des Bessins / Route D5E,verre,24h,tous les jours,verre
1198,verre aérien,"45.11467,5.80736",Grand-Sud,Vaulnaveys le Haut,Stade Daniel Petiot / 47 Avenue d'Uriage / Parking / angle avec Chemin du Stade,verre,24h,tous les jours,verre
1191,verre aérien,"45.13292,5.82483",Grand-Sud,Vaulnaveys le Haut,Tuilerie 2 - Champey / 355 Route de Prémol (parking) / Chemin de Champey,verre,24h,tous les jours,verre
940,verre aérien,"45.05368,5.66657",Grand-Sud,Vif,23 Rue Gustave Guerre / Parking vers passerelle / Face école Malraux,verre,24h,tous les jours,verre
949,verre aérien,"45.05439,5.68308",Grand-Sud,Vif,27 Rue du Truchet / Centre technique municipal (logette près du transformateur),verre,24h,tous les jours,verre
937,verre aérien,"45.04714,5.66734",Grand-Sud,Vif,5 Avenue Général De Gaulle / Contre-allée vers rond-point (ancien tracé de l'avenue),verre,24h,tous les jours,verre
567,verre aérien,"45.12403,5.69459",Grand-Sud,Le Pont de Claix,Place des Alpes (Place du Marché),verre,24h,tous les jours,verre
935,verre aérien,"45.05139,5.6723",Grand-Sud,Vif,Collège le Masségu (cuisines) / Rue du 19 mars 1962 (en face de la salle polyvalente),verre,24h,tous les jours,verre
952,verre aérien,"45.03103,5.66428",Grand-Sud,Vif,Le Poyet / Route de Sisteron (RN 75) / Allée du Poyet,verre,24h,tous les jours,verre
953,verre aérien,"45.05605,5.66733",Grand-Sud,Vif,Route des Celliers / Place du Breuil (intersection Boulevard Faidherbe - pont sur la Gresse),verre,24h,tous les jours,verre
951,verre aérien,"45.05575,5.67354",Grand-Sud,Vif,Rue du Repos / Face au cimetière / Proximité Allée Van Gogh (copropriété la Croix des Gracieux),verre,24h,tous les jours,verre
934,verre aérien,"45.05671,5.66828",Grand-Sud,Vif,Salle des fêtes (parking derrière bâtiment) / Accès par rue du Polygone,verre,24h,tous les jours,verre
1221,verre aérien,"45.05293,5.77796",Grand-Sud,Vizille,Le Grand Trou (Péage de Vizille) / 1108 Rue du Maquis de l'Oisans (RD 1091),verre,24h,tous les jours,verre
1208,verre aérien,"45.08193,5.7882",Grand-Sud,Vizille,Les Corniers / Centre de loisirs / Chemin des Corniers,verre,24h,tous les jours,verre
1201,verre aérien,"45.08271,5.77123",Grand-Sud,Vizille,Les Roseaux / Avenue de Vénaria / Avenue des Roseaux,verre,24h,tous les jours,verre
1327,verre aérien,"45.14515,5.70574",Sud,Echirolles,4 Rue Léon Fournier Sud,verre,24h,tous les jours,verre
941,verre aérien,"45.05449,5.67907",Grand-Sud,Vif,Rue du 8 mai 1945 / Rue de l'Espère / supermarché Casino,verre,24h,tous les jours,verre
1212,verre aérien,"45.07676,5.77161",Grand-Sud,Vizille,Parking République / 124 Rue de la République,verre,24h,tous les jours,verre
1213,verre enterré,"45.07474,5.77227",Grand-Sud,Vizille,Place du Château / Rue Emile Cros,verre,24h,tous les jours,verre
1209,verre enterré,"45.07924,5.77388",Grand-Sud,Vizille,Place du Marché / Place Henri Barbusse,verre,24h,tous les jours,verre
1238,verre aérien,"45.07631,5.77563",Grand-Sud,Vizille,Salle des fêtes La Locomotive (parking derrière la salle) / 261 Route d'Uriage,verre,24h,tous les jours,verre
1199,verre aérien,"45.08443,5.76269",Grand-Sud,Vizille,ZA Cornage / Intermarché / 270 Rue Ambroise Croizat / Chemin des Peupliers,verre,24h,tous les jours,verre
17,verre aérien,"45.22061,5.76396",Nord-Est,Corenc,123 Route de Chartreuse (100 m avant accès Maison de Retraite la Providence),verre,24h,tous les jours,verre
15,verre aérien,"45.2195,5.75433",Nord-Est,Corenc,3 Chemin de Cabessière (local poubelle),verre,24h,tous les jours,verre
16,verre aérien,"45.22273,5.75281",Nord-Est,Corenc,42 Chemin de Pelletière,verre,24h,tous les jours,verre
24,verre aérien,"45.20826,5.75743",Nord-Est,Corenc,66 Avenue du Grésivaudan / Parking Collège Jules Flandrin,verre,24h,tous les jours,verre
19,verre aérien,"45.20885,5.74895",Nord-Est,Corenc,9 Chemin de la Croix de Montfleury / Tennis Club,verre,24h,tous les jours,verre
20,verre aérien,"45.21142,5.75226",Nord-Est,Corenc,Avenue de Beauregard / Allée des Séquoias,verre,24h,tous les jours,verre
25,verre aérien,"45.21658,5.7537",Nord-Est,Corenc,Chemin de Malanot / Route de Chartreuse (Monument aux morts),verre,24h,tous les jours,verre
18,verre aérien,"45.21928,5.76155",Nord-Est,Corenc,Chemin des Pierres / Route de Chartreuse,verre,24h,tous les jours,verre
39,verre aérien,"45.20679,5.82769",Nord-Est,Domène,1 Rue Aristide Bergès / Parking Intermarché,verre,24h,tous les jours,verre
1285,verre aérien,"45.20129,5.82209",Nord-Est,Domène,2 Rue des Iles / Services techniques,verre,24h,tous les jours,verre
37,verre aérien,"45.20347,5.82817",Nord-Est,Domène,25-29 Rue Casimir Julhiet / Allée de la Fraternité / Entrée quartier Chenevières,verre,24h,tous les jours,verre
33,verre aérien,"45.2005,5.83457",Nord-Est,Domène,30B Rue Emile Blanc / Complexe sportif Pierre de Courbertin / Piscine,verre,24h,tous les jours,verre
36,verre aérien,"45.19783,5.81812",Nord-Est,Domène,39 Rue Aristide Bergès / Zone industrielle,verre,24h,tous les jours,verre
35,verre aérien,"45.19618,5.82254",Nord-Est,Domène,41 Rue des Sports (limite Murianette),verre,24h,tous les jours,verre
32,verre aérien,"45.20287,5.83545",Nord-Est,Domène,9 Rue des Lilas / Chemin Cité du Moutiers / Résidence personnes agées ''Le Parc'',verre,24h,tous les jours,verre
1288,verre aérien,"45.19517,5.83011",Nord-Est,Domène,Chemin des Carrières / Parking Résidence le Beaulieu (à côté logette - après entrée E15),verre,24h,tous les jours,verre
