id,nom,geo_point_2d,secteur,commune,adresse,type_dechet,horaires_ouverture,jours_ouverture,types_materiaux
2115,papier aérien,"45.07362,5.77282",Grand-Sud,Vizille,Ecole du Château (parking devant école) / Rue Emile Cros,papier,24h,tous les jours,papier
3124,emballages aérien,"45.05532,5.77762",Grand-Sud,Vizille,Ecole Paul Langevin (Péage de Vizille) / 441 Rue Paul Langevin,emballages,24h,tous les jours,emballages
3126,emballages aérien,"45.05532,5.77761",Grand-Sud,Vizille,Ecole Paul Langevin (Péage de Vizille) / 441 Rue Paul Langevin,emballages,24h,tous les jours,emballages
5077,ordures ménagères résiduelles enterré,"45.25453,5.66662",Nord-Ouest,Fontanil Cornillon,Rue Bach / Chemin de Claretière / Place du Marché,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
3004,emballages aérien,"45.25318,5.7201",Nord-Ouest,Quaix en Chartreuse,Ecole / 215 Route de Clémencières,emballages,24h,tous les jours,emballages
5107,ordures ménagères résiduelles enterré,"45.25109,5.66153",Nord-Ouest,Fontanil Cornillon,Rue Chancelière (vers Allée des Orchidées),ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5099,collecte sélective enterré,"45.2486,5.66423",Nord-Ouest,Fontanil Cornillon,Rue Chancelière / Rue Babière,collecte sélective,24h,tous les jours,collecte sélective
5100,collecte sélective enterré,"45.24867,5.66425",Nord-Ouest,Fontanil Cornillon,Rue Chancelière / Rue Babière,collecte sélective,24h,tous les jours,collecte sélective
5101,collecte sélective enterré,"45.24865,5.66427",Nord-Ouest,Fontanil Cornillon,Rue Chancelière / Rue Babière,collecte sélective,24h,tous les jours,collecte sélective
5098,ordures ménagères résiduelles enterré,"45.2486,5.66418",Nord-Ouest,Fontanil Cornillon,Rue Chancelière / Rue Babière,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5102,ordures ménagères résiduelles enterré,"45.24864,5.66429",Nord-Ouest,Fontanil Cornillon,Rue Chancelière / Rue Babière,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5086,collecte sélective enterré,"45.2529,5.66655",Nord-Ouest,Fontanil Cornillon,Rue du Rafour / Parc municipal / Gymnase Lionel Terray,collecte sélective,24h,tous les jours,collecte sélective
5052,ordures ménagères résiduelles enterré,"45.17129,5.70262",Nord-Ouest,Grenoble,11-13 Rue Albert Thomas,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5053,ordures ménagères résiduelles enterré,"45.17127,5.70259",Nord-Ouest,Grenoble,11-13 Rue Albert Thomas,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5045,collecte sélective enterré,"45.17219,5.70263",Nord-Ouest,Grenoble,1-3 Rue Albert Thomas,collecte sélective,24h,tous les jours,collecte sélective
5058,collecte sélective enterré,"45.16983,5.70313",Nord-Ouest,Grenoble,"27, 29, 31, 33 Rue Albert Thomas",collecte sélective,24h,tous les jours,collecte sélective
5063,collecte sélective enterré,"45.1692,5.7031",Nord-Ouest,Grenoble,"39, 41, 43, 45 Rue Albert Thomas",collecte sélective,24h,tous les jours,collecte sélective
5039,collecte sélective enterré,"45.17241,5.70381",Nord-Ouest,Grenoble,49 Rue Anatole France,collecte sélective,24h,tous les jours,collecte sélective
5040,collecte sélective enterré,"45.17254,5.7032",Nord-Ouest,Grenoble,51-53 Rue Anatole France,collecte sélective,24h,tous les jours,collecte sélective
5046,collecte sélective enterré,"45.17183,5.70262",Nord-Ouest,Grenoble,5-7 Rue Albert Thomas,collecte sélective,24h,tous les jours,collecte sélective
3107,emballages aérien,"45.08302,5.77473",Grand-Sud,Vizille,Gymnase Guy Mocquet / 106 Avenue de Vénaria,emballages,24h,tous les jours,emballages
2103,papier aérien,"45.08305,5.77473",Grand-Sud,Vizille,Gymnase Guy Mocquet / 106 Avenue de Vénaria,papier,24h,tous les jours,papier
3100,emballages aérien,"45.08523,5.77116",Grand-Sud,Vizille,Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud,emballages,24h,tous les jours,emballages
5047,ordures ménagères résiduelles enterré,"45.17183,5.70264",Nord-Ouest,Grenoble,5-7 Rue Albert Thomas,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5048,ordures ménagères résiduelles enterré,"45.17182,5.70262",Nord-Ouest,Grenoble,5-7 Rue Albert Thomas,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5324,ordures ménagères résiduelles enterré,"45.16151,5.73499",Sud,Grenoble,14 Allée des Genêts / Crêche des Frênes,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5050,collecte sélective enterré,"45.17155,5.70261",Nord-Ouest,Grenoble,9 Rue Albert Thomas,collecte sélective,24h,tous les jours,collecte sélective
5049,ordures ménagères résiduelles enterré,"45.17157,5.70261",Nord-Ouest,Grenoble,9 Rue Albert Thomas,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
2094,papier aérien,"45.12204,5.80424",Grand-Sud,Vaulnaveys le Haut,Déchèterie / Mas des Bessins / Route D5E,papier,24h,tous les jours,papier
3104,emballages aérien,"45.08523,5.77116",Grand-Sud,Vizille,Julian Grimaud / Avenue de Vénaria / Rue Julian Grimaud,emballages,24h,tous les jours,emballages
5095,ordures ménagères résiduelles enterré,"45.16579,5.73141",Sud,Grenoble,30 Galerie de l'Arlequin / CCAS,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5060,collecte sélective enterré,"45.1695,5.70311",Nord-Ouest,Grenoble,"35, 37 Rue Albert Thomas",collecte sélective,24h,tous les jours,collecte sélective
5061,ordures ménagères résiduelles enterré,"45.16947,5.70311",Nord-Ouest,Grenoble,"35, 37 Rue Albert Thomas",ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5325,ordures ménagères résiduelles enterré,"45.16151,5.73499",Sud,Grenoble,14 Allée des Genêts / Crêche des Frênes,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
3089,emballages aérien,"45.11273,5.80779",Grand-Sud,Vaulnaveys le Bas,Passe-Rivière / Station de pompage / 433 Route des Pénitents Blancs,emballages,24h,tous les jours,emballages
2065,collecte sélective aérien,"45.01031,5.69763",Grand-Sud,Notre Dame de Commiers,Cimetière / 1-3 Chemin de la Cluse (nouveau cimetière situé 100m en contrebas de l'église),collecte sélective,24h,tous les jours,collecte sélective
2066,collecte sélective aérien,"45.01033,5.69768",Grand-Sud,Notre Dame de Commiers,Cimetière / 1-3 Chemin de la Cluse (nouveau cimetière situé 100m en contrebas de l'église),collecte sélective,24h,tous les jours,collecte sélective
3066,collecte sélective aérien,"45.01032,5.69767",Grand-Sud,Notre Dame de Commiers,Cimetière / 1-3 Chemin de la Cluse (nouveau cimetière situé 100m en contrebas de l'église),collecte sélective,24h,tous les jours,collecte sélective
5362,collecte sélective enterré,"45.16964,5.73408",Nord-Est,Grenoble,Rue Gérard Philippe (face n° 22) / Place Charles Dullin Sud,collecte sélective,24h,tous les jours,collecte sélective
5361,ordures ménagères résiduelles enterré,"45.16968,5.73408",Nord-Est,Grenoble,Rue Gérard Philippe (face n° 22) / Place Charles Dullin Sud,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
3112,emballages enterré,"45.07924,5.77385",Grand-Sud,Vizille,Place du Marché / Place Henri Barbusse,emballages,24h,tous les jours,emballages
3168,collecte sélective aérien,"45.19679,5.69308",Nord-Ouest,Fontaine,2 Rue Romain Rolland / Centre social / Boulodrome / Square Sommatino,collecte sélective,24h,tous les jours,collecte sélective
3146,papier aérien,"45.06907,5.76613",Grand-Sud,Vizille,Parking Lycée / Gendarmerie / Avenue Pasteur,papier,24h,tous les jours,papier
3154,collecte sélective aérien,"45.08046,5.73396",Grand-Sud,Champ sur Drac,115 Avenue du Pavillon / Parking école,collecte sélective,24h,tous les jours,collecte sélective
3158,collecte sélective aérien,"45.08168,5.74067",Grand-Sud,Champ sur Drac,Déchèterie / Rue Léo Lagrange,collecte sélective,24h,tous les jours,collecte sélective
5006,collecte sélective enterré,"45.20144,5.73404",Nord-Est,Grenoble,3 Quai des Allobroges,collecte sélective,24h,tous les jours,collecte sélective
5004,collecte sélective enterré,"45.19379,5.72495",Nord-Est,Grenoble,66-68 Quai Perrière,collecte sélective,24h,tous les jours,collecte sélective
5001,ordures ménagères résiduelles enterré,"45.19378,5.72489",Nord-Est,Grenoble,66-68 Quai Perrière,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5005,ordures ménagères résiduelles enterré,"45.20142,5.73403",Nord-Est,Grenoble,3 Quai des Allobroges,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5003,collecte sélective enterré,"45.19378,5.72493",Nord-Est,Grenoble,66-68 Quai Perrière,collecte sélective,24h,tous les jours,collecte sélective
5002,ordures ménagères résiduelles enterré,"45.19378,5.72491",Nord-Est,Grenoble,66-68 Quai Perrière,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5021,ordures ménagères résiduelles enterré,"45.17097,5.74351",Nord-Est,Grenoble,11 Rue Gaston Letonnelier,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
1036,verre aérien,"45.2116,5.78431",Nord-Est,Meylan,Rue des Tisserants / Allée du Marais,verre,24h,tous les jours,verre
